[231.068, 264.228]
[231.328, 264.230]
[231.590, 263.972]
[231.850, 263.974]
[232.110, 263.977]
[232.371, 263.979]
[232.631, 263.981]
[232.892, 263.723]
[233.154, 263.466]
[233.415, 263.208]
[233.676, 262.950]
[233.938, 262.433]
[234.200, 262.175]
[234.460, 262.178]
[234.721, 261.920]
[234.982, 261.662]
[235.243, 261.665]
[235.503, 261.667]
[235.763, 261.669]
[236.025, 261.411]
[236.286, 261.154]
[236.547, 260.896]
[236.809, 260.638]
[237.069, 260.641]
[237.330, 260.383]
[237.591, 260.125]
[237.852, 260.128]
[238.112, 260.130]
[238.372, 260.132]
[238.633, 260.134]
[238.894, 259.876]
[239.154, 259.879]
[239.415, 259.881]
[239.674, 260.143]
[239.934, 260.145]
[240.195, 260.147]
[240.455, 260.149]
[240.715, 260.151]
[240.974, 260.413]
[241.235, 260.416]
[241.494, 260.678]
[241.753, 260.939]
[242.014, 260.942]
[242.273, 261.204]
[242.532, 261.466]
[242.792, 261.727]
[243.051, 261.989]
[243.310, 262.251]
[243.571, 262.254]
[243.829, 262.775]
[244.088, 263.037]
[244.348, 263.299]
[244.607, 263.561]
[244.866, 263.823]
[245.127, 263.825]
[245.387, 263.827]
[245.647, 263.830]
[245.908, 263.832]
[246.167, 264.094]
[246.427, 264.096]
[246.687, 264.358]
[246.947, 264.360]
[247.207, 264.362]
[247.467, 264.364]
[247.729, 264.107]
[247.988, 264.369]
[248.248, 264.371]
[248.509, 264.373]
[248.769, 264.375]
[249.029, 264.377]
[249.289, 264.639]
[249.548, 264.901]
[249.808, 264.903]
[250.068, 265.165]
[250.327, 265.427]
[250.586, 265.689]
[250.847, 265.691]
[251.106, 265.953]
[251.365, 266.215]
[251.626, 266.217]
[251.884, 266.739]
[252.143, 267.001]
[252.402, 267.523]
[252.661, 267.785]
[252.919, 268.307]
[253.179, 268.569]
[253.438, 268.830]
[253.697, 269.092]
[253.957, 269.354]
[254.215, 269.876]
[254.474, 270.138]
[254.733, 270.660]
[254.992, 270.922]
[255.251, 271.184]
[255.512, 271.186]
[255.771, 271.448]
[256.031, 271.450]
[256.291, 271.452]
[256.551, 271.714]
[256.810, 271.976]
[257.070, 271.978]
[257.330, 272.240]
[257.589, 272.502]
[257.848, 272.764]
[258.108, 273.026]
[258.367, 273.288]
[258.627, 273.290]
[258.888, 273.292]
[259.148, 273.294]
[259.408, 273.297]
[259.668, 273.559]
[259.928, 273.561]
[260.187, 273.823]
[260.448, 273.825]
[260.707, 274.087]
[260.968, 273.829]
[261.229, 273.572]
[261.494, 272.535]
[261.756, 272.017]
[262.017, 271.760]
[262.279, 271.242]
[262.540, 271.244]
[262.801, 270.987]
[263.062, 270.729]
[263.323, 270.731]
[263.583, 270.734]
[263.843, 270.736]
[264.104, 270.738]
[264.365, 270.480]
[264.624, 270.742]
[264.885, 270.744]
[265.145, 270.747]
[265.405, 270.749]
[265.665, 270.751]
[265.925, 271.013]
[266.184, 271.275]
[266.444, 271.277]
[266.704, 271.539]
[266.963, 271.801]
[267.222, 272.063]
[267.483, 272.065]
[267.742, 272.327]
[268.000, 272.849]
[268.260, 273.111]
[268.518, 273.632]
[268.776, 274.154]
[269.036, 274.416]
[269.295, 274.678]
[269.554, 274.940]
[269.815, 274.942]
[270.074, 275.204]
[270.333, 275.466]
[270.593, 275.728]
[270.852, 275.990]
[271.112, 275.992]
[271.372, 276.254]
[271.632, 276.256]
[271.892, 276.258]
[272.153, 276.261]
[272.413, 276.263]
[272.673, 276.265]
[272.933, 276.267]
[273.194, 276.269]
[273.454, 276.271]
[273.714, 276.274]
[273.975, 276.276]
[274.235, 276.278]
[274.495, 276.280]
[274.757, 276.022]
[275.018, 275.765]
[275.279, 275.507]
[275.541, 274.990]
[275.804, 274.472]
[276.065, 274.215]
[276.327, 273.697]
[276.588, 273.700]
[276.849, 273.442]
[277.110, 273.184]
[277.370, 273.187]
[277.632, 272.929]
[277.893, 272.671]
[278.154, 272.414]
[278.417, 271.896]
[278.678, 271.639]
[278.940, 271.121]
[279.200, 271.124]
[279.462, 270.866]
[279.723, 270.608]
[279.983, 270.611]
[280.244, 270.613]
[280.504, 270.615]
[280.764, 270.617]
[281.025, 270.359]
[281.286, 270.362]
[281.546, 270.364]
[281.806, 270.366]
[282.067, 270.368]
[282.327, 270.370]
[282.586, 270.632]
[282.847, 270.634]
[283.107, 270.637]
[283.367, 270.639]
[283.628, 270.641]
[283.887, 270.903]
[284.146, 271.165]
[284.407, 271.167]
[284.666, 271.429]
[284.925, 271.691]
[285.185, 271.953]
[285.444, 272.215]
[285.703, 272.477]
[285.962, 272.739]
[286.223, 272.741]
[286.482, 273.003]
[286.741, 273.265]
[287.002, 273.267]
[287.261, 273.529]
[287.522, 273.271]
[287.784, 273.014]
[288.045, 272.756]
[288.306, 272.498]
[288.567, 272.501]
[288.828, 272.243]
[289.089, 271.985]
[289.350, 271.728]
[289.616, 270.431]
[289.878, 269.914]
[290.139, 269.656]
[290.401, 269.139]
[290.663, 268.881]
[290.923, 268.883]
[291.184, 268.626]
[291.446, 268.368]
[291.706, 268.370]
[291.966, 268.372]
[292.226, 268.375]
[292.487, 268.377]
[292.748, 268.119]
[293.009, 267.861]
[293.272, 267.344]
[293.533, 267.086]
[293.795, 266.569]
[294.056, 266.311]
[294.318, 266.054]
[294.579, 265.796]
[294.839, 265.798]
[295.101, 265.541]
[295.362, 265.283]
[295.623, 265.026]
[295.884, 264.768]
[296.147, 264.251]
[296.408, 263.993]
[296.670, 263.476]
[296.931, 263.478]
[297.192, 263.220]
[297.453, 262.963]
[297.713, 262.965]
[297.974, 262.967]
[298.234, 262.969]
[298.494, 262.971]
[298.756, 262.714]
[299.016, 262.716]
[299.276, 262.718]
[299.537, 262.720]
[299.797, 262.722]
[300.058, 262.465]
[300.318, 262.467]
[300.579, 262.469]
[300.839, 262.471]
[301.100, 262.214]
[301.362, 261.956]
[301.623, 261.698]
[301.884, 261.441]
[302.146, 261.183]
[302.407, 260.926]
[302.668, 260.668]
[302.929, 260.410]
[303.191, 260.153]
[303.451, 260.155]
[303.712, 259.897]
[303.974, 259.640]
[304.234, 259.642]
[304.494, 259.644]
[304.755, 259.386]
[305.016, 259.389]
[305.277, 259.131]
[305.538, 258.873]
[305.799, 258.876]
[306.059, 258.878]
[306.319, 258.880]
[306.579, 258.882]
[306.841, 258.624]
[307.101, 258.627]
[307.361, 258.629]
[307.622, 258.631]
[307.882, 258.633]
[308.141, 258.895]
[308.402, 258.897]
[308.662, 258.899]
[308.922, 258.902]
[309.183, 258.904]
[309.442, 259.166]
[309.701, 259.428]
[309.962, 259.430]
[310.221, 259.692]
[310.480, 259.954]
[310.740, 260.216]
[311.000, 260.218]
[311.259, 260.480]
[311.518, 260.742]
[311.779, 260.744]
[312.038, 261.006]
[312.297, 261.268]
[312.558, 261.270]
[312.817, 261.532]
[313.077, 261.534]
[313.337, 261.796]
[313.596, 262.058]
[313.856, 262.060]
[314.116, 262.322]
[314.375, 262.584]
[314.635, 262.586]
[314.896, 262.588]
[315.156, 262.591]
[315.417, 262.333]
[315.678, 262.335]
[315.938, 262.337]
[316.198, 262.339]
[316.457, 262.601]
[316.718, 262.604]
[316.978, 262.606]
[317.238, 262.608]
[317.499, 262.610]
[317.758, 262.872]
[318.017, 263.134]
[318.278, 263.136]
[318.536, 263.658]
[318.795, 263.920]
[319.055, 264.182]
[319.314, 264.444]
[319.573, 264.706]
[319.833, 264.968]
[320.092, 265.230]
[320.351, 265.492]
[320.612, 265.494]
[320.872, 265.496]
[321.132, 265.498]
[321.393, 265.500]
[321.652, 265.762]
[321.911, 266.024]
[322.172, 266.026]
[322.430, 266.548]
[322.689, 266.810]
[322.948, 267.332]
[323.206, 267.853]
[323.465, 268.115]
[323.724, 268.637]
[323.983, 268.899]
[324.241, 269.421]
[324.501, 269.683]
[324.760, 269.945]
[325.020, 269.947]
[325.281, 269.949]
[325.541, 269.951]
[325.800, 270.213]
[326.060, 270.215]
[326.320, 270.477]
[326.580, 270.479]
[326.840, 270.482]
[327.101, 270.484]
[327.361, 270.486]
[327.621, 270.488]
[327.882, 270.490]
[328.142, 270.492]
[328.402, 270.495]
[328.662, 270.757]
[328.922, 270.759]
[329.183, 270.501]
[329.443, 270.503]
[329.705, 270.246]
[329.966, 269.988]
[330.226, 269.990]
[330.487, 269.992]
[330.747, 269.995]
[331.007, 269.997]
[331.269, 269.739]
[331.529, 269.741]
[331.788, 270.003]
[332.048, 270.005]
[332.309, 270.008]
[332.569, 270.010]
[332.829, 270.012]
[333.089, 270.274]
[333.348, 270.536]
[333.608, 270.538]
[333.868, 270.800]
[334.127, 271.062]
[334.387, 271.064]
[334.647, 271.326]
[334.906, 271.588]
[335.164, 272.110]
[335.424, 272.372]
[335.683, 272.634]
[335.942, 272.896]
[336.202, 273.158]
[336.461, 273.419]
[336.720, 273.681]
[336.981, 273.684]
[337.240, 273.946]
[337.499, 274.207]
[337.759, 274.469]
[338.018, 274.731]
[338.278, 274.734]
[338.539, 274.736]
[338.800, 274.478]
[339.060, 274.480]
[339.320, 274.482]
[339.581, 274.485]
[339.841, 274.487]
[340.101, 274.489]
[340.362, 274.491]
[340.622, 274.493]
[340.883, 274.236]
[341.144, 274.238]
[341.405, 273.980]
[341.666, 273.723]
[341.927, 273.465]
[342.189, 273.207]
[342.449, 273.210]
[342.710, 272.952]
[342.972, 272.694]
[343.232, 272.697]
[343.493, 272.439]
[343.754, 272.181]
[344.016, 271.924]
[344.277, 271.666]
[344.539, 271.149]
[344.801, 270.891]
[345.062, 270.634]
[345.323, 270.376]
[345.583, 270.378]
[345.845, 270.120]
[346.106, 269.863]
[346.367, 269.605]
[346.629, 269.348]
[346.890, 269.090]
[347.150, 269.092]
[347.411, 268.835]
[347.673, 268.577]
[347.933, 268.579]
[348.193, 268.581]
[348.454, 268.583]
[348.714, 268.586]
[348.975, 268.328]
[349.236, 268.330]
[349.496, 268.332]
[349.755, 268.594]
[350.016, 268.596]
[350.276, 268.599]
[350.536, 268.601]
[350.796, 268.603]
[351.056, 268.865]
[351.315, 269.127]
[351.575, 269.129]
[351.835, 269.391]
[352.095, 269.393]
[352.355, 269.395]
[352.616, 269.398]
[352.877, 269.140]
[353.137, 269.142]
[353.398, 268.884]
[353.659, 268.887]
[353.919, 268.889]
[354.179, 268.891]
[354.441, 268.633]
[354.702, 268.376]
[354.962, 268.378]
[355.224, 268.120]
[355.485, 267.863]
[355.745, 267.865]
[356.006, 267.607]
[356.267, 267.609]
[356.528, 267.352]
[356.789, 267.094]
[357.050, 267.096]
[357.311, 266.839]
[357.571, 266.841]
[357.833, 266.583]
[358.094, 266.326]
[358.358, 265.289]
[358.620, 264.771]
[358.882, 264.514]
[359.144, 263.996]
[359.405, 263.739]
[359.666, 263.481]
[359.929, 262.964]
[360.191, 262.446]
[360.452, 262.189]
[360.714, 261.671]
[360.976, 261.414]
[361.236, 261.416]
[361.497, 261.158]
[361.759, 260.901]
[362.019, 260.903]
[362.279, 260.905]
[362.540, 260.907]
[362.800, 260.909]
[363.061, 260.652]
[363.321, 260.654]
[363.582, 260.656]
[363.842, 260.658]
[364.102, 260.661]
[364.363, 260.663]
[364.623, 260.665]
[364.883, 260.667]
[365.144, 260.669]
[365.404, 260.671]
[365.663, 260.933]
[365.924, 260.936]
[366.184, 260.938]
[366.445, 260.680]
[366.706, 260.422]
[366.969, 259.905]
[367.231, 259.388]
[367.493, 258.870]
[367.754, 258.613]
[368.017, 258.095]
[368.278, 257.838]
[368.540, 257.320]
[368.803, 256.803]
[369.064, 256.545]
[369.326, 256.028]
[369.586, 256.030]
