[253.556, 306.501]
[253.818, 306.243]
[254.079, 305.985]
[254.340, 305.728]
[254.601, 305.730]
[254.862, 305.472]
[255.122, 305.474]
[255.382, 305.477]
[255.644, 305.219]
[255.904, 305.221]
[256.164, 305.223]
[256.425, 305.226]
[256.685, 305.228]
[256.945, 305.230]
[257.206, 305.232]
[257.466, 305.234]
[257.726, 305.236]
[257.987, 305.239]
[258.246, 305.501]
[258.505, 305.762]
[258.765, 305.765]
[259.025, 306.027]
[259.284, 306.289]
[259.544, 306.291]
[259.805, 306.293]
[260.065, 306.295]
[260.325, 306.297]
[260.585, 306.559]
[260.846, 306.302]
[261.106, 306.304]
[261.367, 306.306]
[261.627, 306.308]
[261.887, 306.310]
[262.148, 306.053]
[262.410, 305.795]
[262.670, 305.797]
[262.931, 305.540]
[263.193, 305.282]
[263.454, 305.024]
[263.715, 304.767]
[263.977, 304.509]
[264.239, 303.992]
[264.500, 303.734]
[264.762, 303.217]
[265.026, 302.440]
[265.287, 302.182]
[265.548, 301.924]
[265.809, 301.667]
[266.070, 301.669]
[266.331, 301.411]
[266.592, 301.154]
[266.854, 300.896]
[267.114, 300.898]
[267.374, 300.900]
[267.634, 301.162]
[267.894, 301.165]
[268.154, 301.167]
[268.414, 301.169]
[268.675, 301.171]
[268.935, 301.173]
[269.195, 301.175]
[269.456, 301.178]
[269.716, 301.180]
[269.977, 300.922]
[270.238, 300.924]
[270.497, 301.186]
[270.757, 301.188]
[271.017, 301.450]
[271.276, 301.712]
[271.536, 301.715]
[271.795, 301.976]
[272.055, 302.238]
[272.314, 302.500]
[272.573, 302.762]
[272.833, 303.024]
[273.092, 303.286]
[273.352, 303.288]
[273.612, 303.550]
[273.871, 303.812]
[274.131, 303.814]
[274.392, 303.817]
[274.651, 304.079]
[274.911, 304.081]
[275.171, 304.343]
[275.430, 304.605]
[275.690, 304.607]
[275.951, 304.609]
[276.210, 304.871]
[276.469, 305.133]
[276.730, 305.135]
[276.989, 305.397]
[277.248, 305.659]
[277.509, 305.661]
[277.769, 305.663]
[278.029, 305.665]
[278.289, 305.668]
[278.549, 305.930]
[278.809, 305.932]
[279.069, 305.934]
[279.330, 305.936]
[279.591, 305.678]
[279.851, 305.681]
[280.112, 305.683]
[280.372, 305.685]
[280.632, 305.687]
[280.893, 305.430]
[281.154, 305.432]
[281.415, 305.174]
[281.676, 304.917]
[281.937, 304.919]
[282.198, 304.661]
[282.459, 304.403]
[282.720, 304.406]
[282.981, 304.148]
[283.241, 304.150]
[283.501, 304.152]
[283.762, 304.155]
[284.021, 304.417]
[284.281, 304.419]
[284.541, 304.681]
[284.801, 304.683]
[285.061, 304.685]
[285.322, 304.687]
[285.582, 304.689]
[285.841, 304.951]
[286.101, 305.213]
[286.359, 305.735]
[286.618, 305.997]
[286.877, 306.519]
[287.136, 306.781]
[287.395, 307.042]
[287.656, 307.045]
[287.915, 307.307]
[288.174, 307.569]
[288.435, 307.571]
[288.695, 307.573]
[288.955, 307.575]
